Coaster_Name,Location,Status,Manufacturer,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,Speed_mph,Height_ft,Inversions,Gforce,Cost
Fēnix (roller coaster),Toverland,Operating,Bolliger & Mabillard,2018,51.3997,5.985,Steel,2018-07-07,59.0,,3,5.0,13000000.0
Gold Rusher,Six Flags Magic Mountain,Operating,Arrow Development,1971,34.424,-118.5985,Steel,1971-05-29,35.0,,0,3.4,1200000.0
Manta (SeaWorld Orlando),SeaWorld Orlando,Operating,Bolliger & Mabillard,2009,28.4119,-81.4617,Steel,2009-05-22,56.0,,4,3.7,50000000.0
Wildfire (Kolmården Wildlife Park),Kolmården Wildlife Park,Operating,Rocky Mountain Construction,2016,58.6653,16.4664,Wood,2016-06-28,71.5,183.7,3,4.0,110000000.0
Phaethon (roller coaster),Gyeongju World,Operating,Bolliger & Mabillard,2007,35.8367,129.28,Steel,2007-05-05,55.9,,6,,
InvadR,Busch Gardens Williamsburg,Operating,Great Coasters International,2017,37.2325,-76.6486,Wood,2017-04-07,48.0,,0,,
Great Chase (Six Flags America),Six Flags America,Operating,Zamperla,1999,38.9075,-76.772,Steel,1999-01-01,11.0,,0,,
Poltergeist (roller coaster),Six Flags Fiesta Texas,Operating,Premier Rides,1999,29.5969,-98.6083,Steel,1999-05-28,60.0,,4,4.5,
Jack Rabbit (Celebration City),"Orlando, FloridaKissimmee, FloridaFayetteville, GeorgiaUnited States",Operating,,2003,28.3303,-81.5147,Other,,,,0,,
Joris en de Draak,Other,Operating,Great Coasters International,2010,51.6469,5.0525,Wood,2010-07-01,46.6,82.0,0,,13000000.0
Comet (Waldameer),Waldameer Park,Operating,Philadelphia Toboggan Coasters,1951,42.1077,-80.1568,Wood,1951-01-01,25.0,,0,,
Twisted Colossus,Six Flags Magic Mountain,Operating,Rocky Mountain Construction,2015,34.4278,-118.5975,Steel,2015-05-23,57.0,,2,,
Storm Coaster,Sea World (Australia),Operating,Mack Rides,2013,-27.9563,153.4258,Steel,2013-12-06,43.5,91.9,0,3.0,20000000.0
The Great White (SeaWorld San Antonio),SeaWorld San Antonio,Operating,Bolliger & Mabillard,1997,29.4523,-98.6965,Steel,1997-02-01,50.0,,5,4.6,21000000.0
Mad Mouse (Valleyfair),Valleyfair,Operating,Arrow Dynamics,1999,44.7999,-93.4591,Steel,1999-05-08,30.0,,0,,
Leviathan (Canada's Wonderland),Canada's Wonderland,Operating,Bolliger & Mabillard,2012,43.8445,-79.5424,Steel,2012-05-06,92.0,306.1,0,4.5,28000000.0
Lost Coaster of Superstition Mountain,Indiana Beach,Operating,Custom Coasters International,2002,40.7886,-86.77,Wood,2002-06-06,20.0,,0,,
Shivering Timbers,Michigan's Adventure,Operating,Custom Coasters International,1998,43.3422,-86.2761,Wood,1998-01-01,57.0,,0,3.8,4500000.0
The Joker's Jinx,Six Flags America,Operating,Premier Rides,1999,38.91,-76.776,Steel,1999-05-08,60.0,,4,4.5,10000000.0
Loch Ness Monster (roller coaster),Busch Gardens Williamsburg,Operating,Arrow Development,1978,37.2343,-76.646,Steel,1978-06-06,60.0,,2,3.5,5000000.0
Steel Dragon 2000,Nagashima Spa Land,Operating,D. H. Morgan Manufacturing,2000,35.0312,136.7301,Steel,2000-08-01,95.0,318.2,0,,52000000.0
Jungle Racing,Happy Valley Beijing,Operating,Vekoma,2006,39.868,116.4874,Steel,2006-07-09,30.1,,0,2.2,
Escape of Novgorod,Hansa-Park,Operating,Gerstlauer,2009,54.0744,10.7814,Steel,2009-04-09,62.1,131.2,1,4.3,
Flying Aces (roller coaster),Ferrari World Abu Dhabi,Operating,Intamin,2016,,,Steel,2016-02-24,74.6,206.7,1,5.0,
The Riddler Mindbender,Six Flags Over Georgia,Operating,Anton Schwarzkopf,1978,33.7703,-84.5475,Steel,1978-03-31,50.0,,2,,2800000.0
Superman: Escape from Krypton,Other,Operating,Intamin,1997,34.425,-118.598,Steel,1997-03-15,100.0,,0,4.5,20000000.0
The Barnstormer,Magic Kingdom,Operating,Vekoma,1996,28.4205,-81.5784,Steel,1996-10-01,25.0,29.9,0,,
Tempesto,Busch Gardens Williamsburg,Operating,Premier Rides,2015,37.2347,-76.6421,Steel,2015-04-25,62.0,,1,,
Objectif Mars,Futuroscope,Operating,Intamin,2020,46.6718,0.3703,Steel,2020-06-13,34.2,,0,,22000000.0
Euro-Mir,Europa-Park,Operating,Mack Rides,1997,48.2647,7.7197,Steel,1997-01-01,49.7,,0,4.0,
Blue Tornado (roller coaster),Gardaland,Operating,Vekoma,1998,45.4566,10.7137,Steel,1998-01-01,49.7,,5,4.5,
Catwoman's Whip,Six Flags New England,Operating,Zierer,2000,42.0371,-72.6117,Steel,2000-05-05,22.4,,0,,
Carolina Goldrusher,Carowinds,Operating,Arrow Dynamics,1973,,,Steel,1973-03-31,30.0,,0,2.4,
Renegade (roller coaster),Valleyfair,Operating,Great Coasters International,2007,44.8008,-93.4611,Wood,2007-05-12,51.3,,0,3.9,6500000.0
Dragonfly (roller coaster),Duinrell,Operating,Gerstlauer,2012,52.1472,4.3785,Steel,2012-03-31,31.1,49.2,0,2.9,
Apple Zapple (Kings Dominion),Kings Dominion,Operating,Mack Rides,2002,,,Steel,2002-03-22,35.0,,0,,
Patriot (Worlds of Fun),Worlds of Fun,Operating,Bolliger & Mabillard,2006,39.1753,-94.4889,Steel,2006-04-08,60.0,,4,,14000000.0
Montezooma's Revenge,Knott's Berry Farm,Operating,Anton Schwarzkopf,1978,33.8456,-117.999,Steel,1978-05-21,55.0,,2,,
Steel Eel,SeaWorld San Antonio,Operating,D. H. Morgan Manufacturing,1999,29.4553,-98.6961,Steel,1999-03-06,65.0,,0,3.5,
Wild Eagle,Dollywood,Operating,Bolliger & Mabillard,2012,35.7947,-83.5301,Steel,2012-03-24,61.0,,4,,20000000.0
Roller Coaster (Dai Nam Van Hien),Đại Nam Văn Hiến,Operating,Hebei Zhongye Metallurgical Equipment,2008,11.0433,106.6325,Steel,2008-09-11,46.6,110.2,4,4.0,25000000000.0
The Beast (roller coaster),Kings Island,Operating,Kings Island,1979,39.3402,-84.266,Wood,1979-04-14,64.8,,0,3.6,3200000.0
Great Bear (roller coaster),Hersheypark,Operating,Bolliger & Mabillard,1998,40.2869,-76.6531,Steel,1998-05-23,58.0,,4,,13000000.0
Giant Dipper,Santa Cruz Beach Boardwalk,Operating,Arthur Looff,1924,36.9647,-122.0153,Wood,1924-05-17,55.0,,0,,50000.0
Mamba (roller coaster),Worlds of Fun,Operating,D. H. Morgan Manufacturing,1998,39.172,-94.4906,Steel,1998-04-18,75.0,,0,3.5,10000000.0
Max & Moritz (roller coaster),Efteling,Operating,Mack Rides,2020,51.6481,5.0474,Steel,2020-06-20,22.4,19.7,0,,15000000.0
Vampire (roller coaster),Chessington World of Adventures,Operating,Arrow Dynamics,1990,51.3473,-0.3156,Steel,1990-04-11,45.0,,0,4.0,
Shambhala (roller coaster),PortAventura Park,Operating,Bolliger & Mabillard,2012,41.0847,1.1564,Other,2012-05-12,83.3,249.3,0,3.8,
Salama (roller coaster),Linnanmäki,Operating,Maurer AG,2008,60.1872,24.9392,Steel,2008-04-25,37.3,,0,,
Space Mountain: De la Terre à la Lune,Disneyland Park (Paris),Operating,Vekoma,1995,48.8741,2.7793,Steel,2017-05-07,44.0,,3,,
Orion (roller coaster),Kings Island,Operating,Bolliger & Mabillard,2020,39.3427,-84.2627,Steel,2020-07-02,91.0,,0,,30000000.0
Sprocket Rockets,Six Flags Great America,Operating,Vekoma,1998,42.3669,-87.9311,Steel,1998-01-01,21.7,,0,,
Goliath (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Giovanola,2000,34.4269,-118.5969,Steel,2000-02-11,85.0,,0,,30000000.0
