Coaster_Name,Location,Status,Manufacturer,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,Speed_mph,Height_ft,Inversions,Gforce,Cost
Silver Star (roller coaster),Europa-Park,Operating,Bolliger & Mabillard,2002,48.268,7.72,Steel,2002-03-23,78.9,239.5,0,4.0,
Kingda Ka,Six Flags Great Adventure,Operating,Intamin,2005,40.1392,-74.4365,Steel,2005-05-21,128.0,,0,,25000000.0
Volcano: The Blast Coaster,Kings Dominion,Removed,Intamin,1998,37.8394,-77.4402,Steel,1998-08-03,70.0,,4,,20000000.0
Zadra (roller coaster),Energylandia,Operating,Rocky Mountain Construction,2019,50.0019,19.4031,Other,2019-08-22,75.2,206.0,3,4.0,
Superman: Krypton Coaster,Six Flags Fiesta Texas,Operating,Bolliger & Mabillard,2000,29.5952,-98.61,Steel,2000-03-11,70.0,,6,3.8,20000000.0
Hyperion (roller coaster),Energylandia,Operating,Intamin,2018,,,Steel,2018-07-14,88.2,252.6,1,4.8,
Dinoconda,China Dinosaurs Park,Operating,S&S – Sansei Technologies,2012,31.8245,119.9955,Steel,2012-04-29,78.3,,3,,
Maxx Force,Six Flags Great America,Operating,S&S - Sansei Technologies,2019,,,Steel,2019-07-04,78.0,,5,4.5,15000000.0
Cannibal (roller coaster),Lagoon,Operating,Lagoon Corporation,2015,40.9874,-111.8955,Steel,2015-07-02,70.0,,4,4.2,22000000.0
Raging Bull (roller coaster),Six Flags Great America,Operating,Bolliger & Mabillard,1999,42.3658,-87.9371,Steel,1999-05-01,73.0,,0,,25000000.0
Behemoth (roller coaster),Canada's Wonderland,Operating,Bolliger & Mabillard,2008,43.839,-79.5406,Steel,2008-05-04,77.1,229.7,0,4.5,26000000.0
Thunder Dolphin,Tokyo Dome City Attractions,Operating,Intamin,2003,35.7063,139.7533,Steel,2003-05-01,80.8,262.5,0,4.4,37000000.0
Steel Vengeance,Cedar Point,Operating,Rocky Mountain Construction,2018,41.4862,-82.6933,Steel,2018-05-05,74.0,,4,,
Superman El Último Escape,Six Flags México,Operating,D. H. Morgan Manufacturing,2004,,,Steel,2004-11-19,74.6,,0,,
Desperado (roller coaster),Primm Valley Resorts,Closed,Arrow Dynamics,1994,35.6142,-115.3844,Steel,1994-08-11,80.0,,0,4.0,30000000.0
Millennium Force,Cedar Point,Operating,Intamin,2000,41.4817,-82.6881,Steel,2000-05-13,93.0,,0,4.5,25000000.0
Nitro (Six Flags Great Adventure),Six Flags Great Adventure,Operating,Bolliger & Mabillard,2001,40.1356,-74.4444,Steel,2001-04-07,80.0,,0,4.3,20000000.0
Goliath (Six Flags Great America),Six Flags Great America,Operating,Rocky Mountain Construction,2014,42.3661,-87.9311,Other,2014-06-19,72.0,,2,,
Ring Racer,Nürburgring,Closed,S&S - Sansei Technologies,2013,50.3361,6.9492,Steel,2013-10-31,99.4,123.0,0,5.6,
Wild Thing (Valleyfair),Valleyfair,Operating,D. H. Morgan Manufacturing,1996,44.7986,-93.4587,Steel,1996-05-11,75.0,,0,4.1,9500000.0
Possessed (roller coaster),Other,,Intamin,2000,,,Steel,,70.0,,0,3.7,
Mamba (roller coaster),Worlds of Fun,Operating,D. H. Morgan Manufacturing,1998,39.172,-94.4906,Steel,1998-04-18,75.0,,0,3.5,10000000.0
Viper (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Arrow Dynamics,1990,34.4208,-118.5953,Steel,1990-04-07,70.0,,7,4.1,8000000.0
Steel Curtain (roller coaster),Kennywood,Operating,S&S - Sansei Technologies,2019,40.3892,-79.8665,Steel,2019-07-13,75.0,,9,,
Formula Rossa,Ferrari World Abu Dhabi,Operating,Intamin,2010,24.4842,54.6124,Steel,2010-11-04,149.1,170.6,0,4.8,
Tower of Terror II,Dreamworld,Removed,Intamin,1997,-27.8641,153.3174,Steel,1997-01-23,100.0,377.3,0,4.5,16000000.0
Kondaa,Walibi Belgium,Operating,Intamin,2021,50.6977,4.585,Steel,2021-05-08,70.2,,0,,25000000.0
Son of Beast,Kings Island,Removed,Roller Coaster Corporation of America,2000,39.3461,-84.2647,Wood,2000-04-28,78.4,,1,4.5,20500000.0
The Oath of Kärnan,Hansa-Park,Operating,Gerstlauer,2015,54.0769,10.78,Steel,2015-07-01,78.9,239.5,1,5.0,2.0
