Coaster_Name,Location,Status,Manufacturer,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,Speed_mph,Height_ft,Inversions,Gforce,Cost
Fēnix (roller coaster),Toverland,Operating,Bolliger & Mabillard,2018,51.3997,5.985,Steel,2018-07-07,59.0,,3,5.0,13000000.0
Manta (SeaWorld Orlando),SeaWorld Orlando,Operating,Bolliger & Mabillard,2009,28.4119,-81.4617,Steel,2009-05-22,56.0,,4,3.7,50000000.0
Wildfire (Kolmården Wildlife Park),Kolmården Wildlife Park,Operating,Rocky Mountain Construction,2016,58.6653,16.4664,Wood,2016-06-28,71.5,183.7,3,4.0,110000000.0
Phaethon (roller coaster),Gyeongju World,Operating,Bolliger & Mabillard,2007,35.8367,129.28,Steel,2007-05-05,55.9,,6,,
InvadR,Busch Gardens Williamsburg,Operating,Great Coasters International,2017,37.2325,-76.6486,Wood,2017-04-07,48.0,,0,,
Big Grizzly Mountain Runaway Mine Cars,Hong Kong Disneyland,Under Maintenance,Vekoma,2012,22.3102,114.0425,Steel,2012-07-14,44.7,,0,,
Joris en de Draak,Other,Operating,Great Coasters International,2010,51.6469,5.0525,Wood,2010-07-01,46.6,82.0,0,,13000000.0
Ozark Wildcat,Celebration City,Removed,Great Coasters International,2003,36.6509,-93.2938,Wood,2003-05-01,45.0,,0,,4000000.0
Twisted Colossus,Six Flags Magic Mountain,Operating,Rocky Mountain Construction,2015,34.4278,-118.5975,Steel,2015-05-23,57.0,,2,,
Storm Coaster,Sea World (Australia),Operating,Mack Rides,2013,-27.9563,153.4258,Steel,2013-12-06,43.5,91.9,0,3.0,20000000.0
Leviathan (Canada's Wonderland),Canada's Wonderland,Operating,Bolliger & Mabillard,2012,43.8445,-79.5424,Steel,2012-05-06,92.0,306.1,0,4.5,28000000.0
Lost Coaster of Superstition Mountain,Indiana Beach,Operating,Custom Coasters International,2002,40.7886,-86.77,Wood,2002-06-06,20.0,,0,,
Jungle Racing,Happy Valley Beijing,Operating,Vekoma,2006,39.868,116.4874,Steel,2006-07-09,30.1,,0,2.2,
Escape of Novgorod,Hansa-Park,Operating,Gerstlauer,2009,54.0744,10.7814,Steel,2009-04-09,62.1,131.2,1,4.3,
Flying Aces (roller coaster),Ferrari World Abu Dhabi,Operating,Intamin,2016,,,Steel,2016-02-24,74.6,206.7,1,5.0,
Tempesto,Busch Gardens Williamsburg,Operating,Premier Rides,2015,37.2347,-76.6421,Steel,2015-04-25,62.0,,1,,
Objectif Mars,Futuroscope,Operating,Intamin,2020,46.6718,0.3703,Steel,2020-06-13,34.2,,0,,22000000.0
Renegade (roller coaster),Valleyfair,Operating,Great Coasters International,2007,44.8008,-93.4611,Wood,2007-05-12,51.3,,0,3.9,6500000.0
Dragonfly (roller coaster),Duinrell,Operating,Gerstlauer,2012,52.1472,4.3785,Steel,2012-03-31,31.1,49.2,0,2.9,
Apple Zapple (Kings Dominion),Kings Dominion,Operating,Mack Rides,2002,,,Steel,2002-03-22,35.0,,0,,
Patriot (Worlds of Fun),Worlds of Fun,Operating,Bolliger & Mabillard,2006,39.1753,-94.4889,Steel,2006-04-08,60.0,,4,,14000000.0
Wild Eagle,Dollywood,Operating,Bolliger & Mabillard,2012,35.7947,-83.5301,Steel,2012-03-24,61.0,,4,,20000000.0
Roller Coaster (Dai Nam Van Hien),Đại Nam Văn Hiến,Operating,Hebei Zhongye Metallurgical Equipment,2008,11.0433,106.6325,Steel,2008-09-11,46.6,110.2,4,4.0,25000000000.0
Ring Racer,Nürburgring,Closed,S&S - Sansei Technologies,2013,50.3361,6.9492,Steel,2013-10-31,99.4,123.0,0,5.6,
Max & Moritz (roller coaster),Efteling,Operating,Mack Rides,2020,51.6481,5.0474,Steel,2020-06-20,22.4,19.7,0,,15000000.0
Shambhala (roller coaster),PortAventura Park,Operating,Bolliger & Mabillard,2012,41.0847,1.1564,Other,2012-05-12,83.3,249.3,0,3.8,
Salama (roller coaster),Linnanmäki,Operating,Maurer AG,2008,60.1872,24.9392,Steel,2008-04-25,37.3,,0,,
Space Mountain: De la Terre à la Lune,Disneyland Park (Paris),Operating,Vekoma,1995,48.8741,2.7793,Steel,2017-05-07,44.0,,3,,
Orion (roller coaster),Kings Island,Operating,Bolliger & Mabillard,2020,39.3427,-84.2627,Steel,2020-07-02,91.0,,0,,30000000.0
Emperor (roller coaster),SeaWorld San Diego,Under construction,Bolliger & Mabillard,2022,32.764,-117.2224,Steel,2022-03-01,63.0,,4,,
Tulireki,Linnanmäki,Operating,Mack Rides,2004,60.1881,24.9381,Steel,2004-04-29,36.0,,0,3.5,
Baron 1898,Efteling,Operating,Bolliger & Mabillard,2015,51.6482,5.0508,Steel,2015-07-01,55.9,98.4,2,,18000000.0
Sky Rocket,Kennywood Park,Operating,Premier Rides,2010,40.3864,-79.8647,Steel,2010-06-29,50.0,,3,0.8,
Hyperion (roller coaster),Energylandia,Operating,Intamin,2018,,,Steel,2018-07-14,88.2,252.6,1,4.8,
New Texas Giant,Six Flags Over Texas,Operating,Rocky Mountain Construction,2011,32.7564,-97.0731,Steel,2011-04-22,65.0,,0,4.2,10000000.0
Lost Gravity (roller coaster),Walibi Holland,Operating,Mack Rides,2016,52.4424,5.7663,Steel,2016-03-24,54.1,105.0,2,4.3,
BuzzSaw (roller coaster),Dreamworld,Removed,Maurer AG,2011,-27.8623,153.3149,Steel,2011-09-17,65.2,151.6,2,5.0,7000000.0
Rage (roller coaster),Adventure Island,Operating,Gerstlauer,2007,51.5325,0.7167,Steel,2007-02-10,43.5,,3,4.5,
The Flash: Vertical Velocity,Six Flags Discovery Kingdom,SBNO (Standing But Not Operating),Intamin,2001,38.1382,-122.2323,Steel,2001-06-08,65.0,,1,,
Abyssus,Energylandia,Operating,Vekoma,2021,49.9992,19.4011,Steel,2021-07-14,62.1,,4,4.5,11000000.0
Superman: Ultimate Flight (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,Operating,Premier Rides,2012,38.1386,-122.231,Steel,2012-06-30,62.0,,1,,6000000.0
Laff Trakk,Hersheypark,Operating,Maurer AG,2015,40.2935,-76.6551,Steel,2015-05-23,40.0,,0,,14000000.0
Kanonen,Liseberg,Removed,Intamin,2005,57.6933,11.9954,Steel,2005-04-23,46.6,78.7,2,,50000000.0
Polar X-plorer,Legoland Billund,Operating,Zierer,2012,55.737,9.1218,Steel,2012-04-29,40.4,65.6,0,,
Vild-Svinet,BonBon-Land,Operating,Gerstlauer,2003,55.2611,11.8634,Steel,2003-05-16,45.0,72.2,1,,
Blue Fire,Europa-Park,Operating,Mack Rides,2009,48.2624,7.7185,Steel,2009-04-04,62.0,,4,3.8,
Gold Rush (Slagharen),Attractiepark Slagharen,Operating,Gerstlauer,2017,52.6244,6.5619,Steel,2017-04-13,59.0,,2,,5000000.0
Batman: Arkham Asylum (roller coaster),Parque Warner Madrid,Operating,Bolliger & Mabillard,2002,40.2282,-3.5924,Steel,2002-04-06,49.7,,5,4.9,
Dynamite (Freizeitpark Plohn),Freizeitpark Plohn,,Mack Rides,2019,,,Steel,2019-05-18,62.1,144.4,3,,
Titan (Six Flags Over Texas),Six Flags Over Texas,Operating,Giovanola,2001,32.7556,-97.0742,Steel,2001-04-27,85.0,,0,,
Gold Striker,California's Great America,Operating,Great Coasters International,2013,37.3967,-121.9749,Wood,2013-05-31,53.7,,0,4.2,10000000.0
HangTime (roller coaster),Knott's Berry Farm,Operating,Gerstlauer,2018,33.8448,-118.0015,Steel,2018-05-18,57.0,,5,,
The Swarm (roller coaster),Thorpe Park,Operating,Bolliger & Mabillard,2012,51.4056,-0.5154,Steel,2012-03-15,59.0,126.6,5,4.5,
Pony Express (roller coaster),Knott's Berry Farm,Operating,Zamperla,2008,33.8429,-118.0013,Steel,2008-05-22,38.0,,0,,
Hakugei (roller coaster),Nagashima Spa Land,Operating,Rocky Mountain Construction,1994,35.0303,136.7347,Steel,2019-03-28,66.5,180.4,3,4.0,2800000000.0
Tiki-Waka (roller coaster),Walibi Belgium,Operating,Gerstlauer,2018,50.6971,4.5871,Steel,2018-04-07,34.2,,0,,7800000.0
Texas Stingray,SeaWorld San Antonio,Operating,Great Coasters International,2020,29.4524,-98.699,Wood,2020-02-22,55.0,,0,,
Thundercoaster (TusenFryd),TusenFryd,Operating,Vekoma,2001,59.7472,10.7773,Wood,2001-05-01,57.8,,0,2.4,
Medusa Steel Coaster,Six Flags México,Operating,Rocky Mountain Construction,2014,19.2945,-99.2112,Steel,2014-06-14,58.0,,3,,
Fiorano GT Challenge,Other,Operating,Maurer AG,2010,24.4864,54.6042,Steel,2010-11-04,59.0,,0,1.5,
Raik,Phantasialand,Operating,Vekoma,2016,50.7996,6.8828,Steel,2016-06-30,38.5,,0,,
Verbolten,Busch Gardens Williamsburg,Operating,Zierer,2012,37.2315,-76.6449,Steel,2012-05-18,53.0,,0,,
Formule X,Drievliet Family Park,Operating,Maurer AG,2007,52.0544,4.3496,Steel,2007-04-06,45.0,,2,,
MP Xpress,Movie Park Germany,Operating,Vekoma,2001,51.6246,6.9733,Steel,2001-04-06,49.7,109.3,5,,
Fahrenheit (roller coaster),Hersheypark,Operating,Intamin,2008,40.291,-76.6552,Steel,2008-05-24,58.0,,6,,12100000.0
Formuła (Energylandia),Energylandia,Operating,Vekoma,2016,,,Steel,2016-06-25,49.2,81.0,3,3.8,
Do-Dodonpa,Fuji-Q Highland,Closed,S&S – Sansei Technologies,2001,35.4877,138.7823,Steel,2001-12-21,111.8,160.8,1,,
Colossus (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Rocky Mountain Construction,1978,34.4278,-118.5975,Steel,2015-05-23,57.0,,2,,
Intimidator 305,Kings Dominion,Operating,Intamin,2010,37.8375,-77.4397,Steel,2010-04-02,90.0,,0,,25000000.0
Canopy Flyer,Universal Studios Singapore,Operating,Setpoint Inc.,2010,1.2534,103.824,Steel,2010-03-18,,,0,,
Typhoon (Bobbejaanland),Bobbejaanland,Operating,Gerstlauer,2004,51.1997,4.9055,Steel,2004-04-10,49.7,84.3,4,5.0,5000000.0
ArieForce One,Fun Spot America Atlanta,Under construction,Rocky Mountain Construction,2022,,,Steel,2022-01-01,64.0,,4,3.75,13000000.0
Abyss (roller coaster),Adventure World,Operating,Gerstlauer,2013,-32.0955,115.817,Steel,2013-11-01,52.8,98.4,3,4.5,12000000.0
Family Inverted Coaster (Happy Valley Shanghai),Happy Valley Shanghai,Operating,Bolliger & Mabillard,2014,31.0973,121.2087,Steel,2014-07-05,30.4,,0,,
Maverick (roller coaster),Cedar Point,Operating,Intamin,2007,41.4852,-82.6925,Steel,2007-05-26,70.0,,2,,21000000.0
Toboggan (Conneaut Lake Park),Conneaut Lake Park,Removed,Chance Rides,2002,41.6341,-80.3137,Steel,2002-01-01,,,0,,
Steel Lasso,Frontier City,Operating,Chance Morgan,2008,35.5838,-97.4405,Steel,2008-07-18,30.0,48.9,0,2.2,4000000.0
White Lightning (roller coaster),Fun Spot America,Operating,Great Coasters International,2013,28.4662,-81.4564,Wood,2013-06-07,44.3,,0,,3500000.0
Mystic Timbers,Kings Island,Operating,Great Coasters International,2017,,,Wood,2017-04-15,53.0,,0,,15000000.0
Hagrid's Magical Creatures Motorbike Adventure,Universal's Islands of Adventure,Operating,Intamin,2019,28.4298,-81.5859,Steel,2019-06-13,50.0,,0,,300000000.0
WhirlWind (Seabreeze),Seabreeze Amusement Park,Operating,Maurer AG,2004,43.234,-77.5429,Steel,2004-01-01,37.3,,0,,2000000.0
Lightning Rod (roller coaster),Dollywood,Operating,Rocky Mountain Construction,2016,,,Steel,2016-06-13,73.0,,0,3.5,22000000.0
The Smiler,Alton Towers,Operating,Gerstlauer,2013,52.9872,-1.8953,Steel,2013-05-31,52.8,,14,4.8,18000000.0
Defiance (roller coaster),Glenwood Caverns Adventure Park,Under construction,Gerstlauer,2022,,,Steel,2022-01-01,56.0,,2,,
Cobra (Tivoli Friheden),Tivoli Friheden,Operating,Sartori Rides,2008,56.1358,10.1979,Steel,2008-06-28,43.5,,3,4.5,
Mystery Mine,Dollywood,Operating,Gerstlauer,2007,35.7956,-83.5301,Steel,2007-04-13,43.5,,2,,17500000.0
Fury 325,Carowinds,Operating,Bolliger & Mabillard,2015,35.1055,-80.9425,Steel,2015-03-28,95.0,,0,,30000000.0
De Vliegende Hollander,Efteling,Operating,Kumbak,2007,51.648,5.0474,Steel,2007-04-01,42.9,59.1,0,2.0,20000000.0
Thirteen (roller coaster),Alton Towers,Operating,Intamin,2010,52.9847,-1.8904,Steel,2010-03-20,42.0,,0,3.2,15000000.0
Wicked (roller coaster),Lagoon Amusement Park,Operating,Zierer,2007,40.9839,-111.8956,Steel,2007-06-01,55.0,,1,4.8,10000000.0
The Flying Dinosaur,Universal Studios Japan,Operating,Bolliger & Mabillard,2016,34.6634,135.4305,Steel,2016-03-18,62.0,,5,,10000000000.0
Impulse (roller coaster),Knoebels Amusement Resort,Operating,Zierer,2015,40.8798,-76.5018,Steel,2015-04-25,55.0,,4,,
Scream (roller coaster),Six Flags Magic Mountain,Operating,Bolliger & Mabillard,2003,34.4286,-118.5983,Steel,2003-04-12,63.0,,7,4.0,
Steel Hawg,Indiana Beach,Operating,S&S – Sansei Technologies,2008,40.7909,-86.7718,Steel,2008-07-05,41.0,,2,,
Maxx Force,Six Flags Great America,Operating,S&S - Sansei Technologies,2019,,,Steel,2019-07-04,78.0,,5,4.5,15000000.0
Escape from Madagascar,Dreamworld,Operating,Vekoma,2002,-27.8639,153.3169,Steel,2002-12-26,26.0,48.9,0,2.2,
Hydra the Revenge,Dorney Park & Wildwater Kingdom,Operating,Bolliger & Mabillard,2005,40.581,-75.5325,Steel,2005-05-07,53.0,,7,,13000000.0
Star Trek: Operation Enterprise,Movie Park Germany,Operating,Mack Rides,2017,51.6223,6.9729,Steel,2017-06-14,55.9,131.2,3,,
Candymonium,Hersheypark,Operating,Bolliger & Mabillard,2020,40.2863,-76.659,Steel,2020-07-03,76.0,,0,,
Untamed (Walibi Holland),Walibi Holland,Operating,Rocky Mountain Construction,2000,52.4428,5.7608,Steel,2019-07-01,57.2,,5,,
Twist n' Shout,Loudoun Castle,Removed,Anton Schwarzkopf,2003,55.6104,-4.3689,Steel,2003-04-01,41.0,,1,,
Pégase Express,Parc Astérix,Operating,Gerstlauer,2017,49.1336,2.5737,Steel,2017-06-11,32.3,,0,,16000000.0
Ravine Flyer II,Waldameer Park,Operating,The Gravity Group,2008,42.1093,-80.157,Wood,2008-05-17,60.0,,0,3.5,6000000.0
Orkanen,Fårup Sommarland,Operating,Vekoma,2013,57.27,9.6453,Steel,2013-06-05,46.6,,0,3.0,35000000.0
Mine Blower,Fun Spot America (Kissimmee),Operating,The Gravity Group,2017,,,Wood,2017-06-23,48.5,,1,,6000000.0
Dæmonen,Tivoli Gardens,Operating,Bolliger & Mabillard,2004,55.6728,12.5703,Steel,2004-04-16,47.8,91.9,3,4.0,75000000.0
Dive Coaster (Chimelong Paradise),Chimelong Paradise,Operating,Bolliger & Mabillard,2008,22.9996,113.3233,Steel,2008-02-07,68.4,,1,4.4,
Junker (roller coaster),PowerPark,Operating,Gerstlauer,2015,63.2309,22.8555,Steel,2015-05-30,64.9,,3,4.5,
Saw – The Ride,Thorpe Park,Operating,Gerstlauer,2009,51.4026,-0.5119,Steel,2009-03-14,55.0,,3,,13500000.0
Pitts Special (roller coaster),PowerPark,Operating,Gerstlauer,2020,63.2307,22.8545,Steel,2020-06-24,62.1,142.7,0,4.5,
Dawson Duel (roller coaster),Other,Operating,Wiegand,2017,50.8483,2.9475,Steel,2017-05-05,24.9,,0,,4000000.0
